level,model_id,window_start,MAE,RMSE,WAPE,actual_sum,prediction_sum,n_units
store_product,lag_random_forest,2022-03-25,8.602117352771458,16.46770073235878,0.5044451534032646,1296.0,1439.263409396776,76.0
store_product,lag_ridge,2022-03-01,9.758413334996638,12.810845764125242,0.6248015277672657,1187.0,1496.7589649728875,76.0
store_product,lag_ridge,2022-03-08,11.052005200769278,16.007781679294634,0.5660056571822542,1484.0,1534.5180911628927,76.0
store_product,lag_ridge,2022-03-15,10.342454228035578,15.290919263265723,0.6758611533368047,1163.0,1637.3192041814827,76.0
store_product,lag_ridge,2022-03-22,12.245695618181191,19.21642866185328,0.7584945941171723,1227.0,1634.5653750468039,76.0
store_product,lag_ridge,2022-03-25,12.433394869766422,20.333590255685223,0.7291188349554384,1296.0,1623.659371934825,76.0
store_product,seasonal_naive_7,2022-03-01,6.5394736842105265,10.418227953169891,0.41870261162594774,1187.0,1060.0,76.0
store_product,seasonal_naive_7,2022-03-08,8.144736842105264,14.027698164327377,0.4171159029649596,1484.0,1187.0,76.0
store_product,seasonal_naive_7,2022-03-15,8.618421052631579,13.848332599611899,0.5631986242476354,1163.0,1484.0,76.0
store_product,seasonal_naive_7,2022-03-22,7.105263157894737,15.240182344536986,0.4400977995110024,1227.0,1163.0,76.0
store_product,seasonal_naive_7,2022-03-25,7.75,14.460017471052996,0.45447530864197533,1296.0,1169.0,76.0
store_product,stage2_best,2022-03-01,6.60605449770703,10.08426530804884,0.4229655786231965,1187.0,1029.6049881619874,76.0
store_product,stage2_best,2022-03-08,8.26336950086479,14.086394937552669,0.4231914299634259,1484.0,1163.51655434486,76.0
store_product,stage2_best,2022-03-15,7.3864805044917565,12.699107392059968,0.48269348094701076,1163.0,1332.7985629986065,76.0
store_product,stage2_best,2022-03-22,5.938135284718491,14.497213115021427,0.3678062605041609,1227.0,1206.941558028654,76.0
store_product,stage2_best,2022-03-25,7.82043565623426,16.828672311501304,0.4586057946557128,1296.0,1249.75324832077,76.0
store_via_store_product,calendar_ridge,2022-03-01,87.85666824651437,94.45077233159762,0.5181100907545078,1187.0,1519.5597569555644,7.0
store_via_store_product,calendar_ridge,2022-03-08,63.68636382348224,69.61053699177249,0.30040737652585964,1484.0,1514.6550315081515,7.0
store_via_store_product,calendar_ridge,2022-03-15,64.19390012599602,77.86520858352496,0.386377730766958,1163.0,1524.9348408438436,7.0
store_via_store_product,calendar_ridge,2022-03-22,51.44559321928099,73.27405179081508,0.29349564183778887,1227.0,1519.251541234933,7.0
store_via_store_product,calendar_ridge,2022-03-25,51.73329825961243,66.09408962355602,0.2794236788713635,1296.0,1516.4621983217367,7.0
store_via_store_product,historical_mean_28,2022-03-01,39.785714285714285,59.30505278401062,0.2346251053074979,1187.0,951.0,7.0
store_via_store_product,historical_mean_28,2022-03-08,73.53571428571429,92.16217267094223,0.346866576819407,1484.0,979.25,7.0
store_via_store_product,historical_mean_28,2022-03-15,32.82142857142857,38.22104412866967,0.19754944110060188,1163.0,1148.25,7.0
store_via_store_product,historical_mean_28,2022-03-22,33.0,47.62258617804911,0.1882640586797066,1227.0,1223.5,7.0
store_via_store_product,historical_mean_28,2022-03-25,28.71428571428571,46.57770005976189,0.15509259259259256,1296.0,1254.0,7.0
store_via_store_product,lag_random_forest,2022-03-01,34.711627915612155,40.172628328582306,0.20470210228246427,1187.0,1360.1119326466212,7.0
store_via_store_product,lag_random_forest,2022-03-08,57.03780660033049,68.33730214680833,0.26904625754872874,1484.0,1661.6428039858176,7.0
store_via_store_product,lag_random_forest,2022-03-15,88.57806201127119,104.18672373596216,0.5331439673937217,1163.0,1783.046434078898,7.0
store_via_store_product,lag_random_forest,2022-03-22,53.63802598072497,59.86270984316122,0.30600340820299493,1227.0,1484.1670776298452,7.0
store_via_store_product,lag_random_forest,2022-03-25,36.09862467039527,39.242277297556946,0.19497713942343123,1296.0,1439.263409396776,7.0
store_via_store_product,lag_ridge,2022-03-01,56.52039041309791,63.28898539419416,0.33331317008566586,1187.0,1496.7589649728873,7.0
store_via_store_product,lag_ridge,2022-03-08,41.00908348441577,55.343046113288196,0.193439073039697,1484.0,1534.5180911628925,7.0
store_via_store_product,lag_ridge,2022-03-15,67.75988631164043,78.84452949467416,0.40784110419731984,1163.0,1637.319204181483,7.0
store_via_store_product,lag_ridge,2022-03-22,61.38605855371949,68.3635442126264,0.3502057130204046,1227.0,1634.5653750468039,7.0
